event_id,blob_id,time_idx,date,type,n_cells,area_km2,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon,mean_anomaly_mm,max_magnitude_mm,total_anomaly_mm
EVT-2020-031,B00087,2,2020-08-31,dry,520,398475.71149359236,8.431333507874943,93.44962039979455,6.0,10.5,88.25,98.0,-78.65436553955078,-157.93736267089844,-40900.26953125
EVT-2020-049,B00086,2,2020-08-31,dry,333,254628.50123416207,9.34594235501243,83.28377658873089,6.25,11.25,77.25,87.0,-47.95052719116211,-134.0712890625,-15967.525390625
EVT-2020-050,B00061,2,2020-08-31,wet,347,226126.30166212175,32.62039316134518,73.27241477647958,30.0,35.25,70.0,77.25,101.8385009765625,287.2480163574219,35337.9609375
EVT-2020-051,B00085,2,2020-08-31,dry,295,225116.32546613552,10.09695283928737,74.10012034893055,7.25,12.25,71.5,76.75,-125.28514099121094,-234.29727172851562,-36959.1171875
EVT-2020-052,B00073,2,2020-08-31,dry,163,104623.54153228199,33.27958861702389,69.17765688057403,30.5,37.0,68.0,72.25,-39.95589828491211,-181.60279846191406,-6512.8115234375
EVT-2020-053,B00077,2,2020-08-31,dry,123,79993.53806070422,32.64869753427003,94.94737941800128,31.75,34.75,90.25,98.0,-41.28636932373047,-74.19140625,-5078.2236328125
EVT-2020-033,B00083,2,2020-08-31,dry,69,52024.063550239545,13.216882483116258,78.94718879601194,12.0,14.25,77.5,81.0,-47.4442253112793,-81.92507934570312,-3273.651611328125
EVT-2020-054,B00076,2,2020-08-31,dry,70,43897.376228671004,36.001547559142054,90.15255115460467,35.0,36.75,88.5,91.75,-35.33551025390625,-56.49834442138672,-2473.48583984375
EVT-2020-055,B00071,2,2020-08-31,wet,54,38824.92710971751,21.979206000197934,97.41220010932642,20.25,23.25,96.25,98.0,58.665794372558594,111.23876953125,3167.952880859375
EVT-2020-056,B00067,2,2020-08-31,wet,55,37811.04268751036,27.327235416072604,75.92608192646733,26.5,28.5,75.0,76.75,65.06221771240234,107.58790588378906,3578.421875
EVT-2020-057,B00060,2,2020-08-31,wet,49,30903.75643787101,35.30043047436097,97.1080971779184,34.25,36.75,95.25,98.0,15.871296882629395,24.77056884765625,777.6935424804688
